gene	AD.Ex.betweenness	AD.Ex.degree_in	AD.Ex.degree_out	Ctrl.Ex.betweenness	Ctrl.Ex.degree_in	Ctrl.Ex.degree_out	AD.In.betweenness	AD.In.degree_in	AD.In.degree_out	Ctrl.In.betweenness	Ctrl.In.degree_in	Ctrl.In.degree_out	AD.Mic.betweenness	AD.Mic.degree_in	AD.Mic.degree_out	Ctrl.Mic.betweenness	Ctrl.Mic.degree_in	Ctrl.Mic.degree_out	AD.Oli.betweenness	AD.Oli.degree_in	AD.Oli.degree_out	Ctrl.Oli.betweenness	Ctrl.Oli.degree_in	Ctrl.Oli.degree_out
ABLIM2	0	116	0	0	103	0	0	102	0	0	110	0	0	66	0	0	71	0	NA	NA	NA	NA	NA	NA
ABR	0	131	0	0	152	0	0	127	0	0	130	0	0	65	0	0	58	0	NA	NA	NA	NA	NA	NA
ABT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	49	0	NA	NA	NA	NA	NA	NA
ABTB2	NA	NA	NA	NA	NA	NA	0	41	0	0	43	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACAD11	0	19	0	0	17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADSB	0	84	0	0	82	0	0	81	0	0	86	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACBD6	0	61	0	0	66	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACER2	0	73	0	0	75	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACIN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	70	0	0	60	0	NA	NA	NA	NA	NA	NA
ACKR3	0	34	0	0	41	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACOT13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	34	0	0	41	0	NA	NA	NA	NA	NA	NA
ACOT7	0	76	0	0	74	0	0	75	0	0	76	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACOX3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	65	0	0	67	0	NA	NA	NA	NA	NA	NA
ACSL3	0	80	0	0	75	0	0	67	0	0	70	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACSS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	73	0	0	66	0	0	78	0	0	75	0
ACSS2	0	101	0	0	106	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTB	NA	NA	NA	NA	NA	NA	0	47	0	0	50	0	0	44	0	0	43	0	0	58	0	0	62	0
ACTG1	0	67	0	0	72	0	0	62	0	0	64	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTN1	0	116	0	0	116	0	0	108	0	0	110	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTN4	0	60	0	0	63	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTR10	0	75	0	0	78	0	0	71	0	0	75	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTR1A	0	84	0	0	84	0	0	74	0	0	76	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTR8	NA	NA	NA	NA	NA	NA	0	65	0	0	74	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACVR1	0	69	0	0	73	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACVR2A	0	71	0	0	73	0	0	62	0	0	61	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACYP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	57	0	0	64	0	NA	NA	NA	NA	NA	NA
ACYP2	0	52	0	0	55	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	77	0	0	80	0
ADAM9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	0	45	0	NA	NA	NA	NA	NA	NA
ADAMTS15	0	34	0	0	29	0	0	51	0	0	51	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAMTS16	0	134	0	0	131	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAMTS8	0	67	0	0	67	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADARB1	0	64	0	0	66	0	0	61	0	0	68	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAT2	NA	NA	NA	NA	NA	NA	0	69	0	0	67	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADCK1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	68	0	0	64	0
ADCY2	0	148	0	0	140	0	0	113	0	0	117	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADCY5	0	110	0	0	114	0	0	92	0	0	94	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADCY7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	63	0	0	55	0	NA	NA	NA	NA	NA	NA
ADCY9	NA	NA	NA	NA	NA	NA	0	52	0	0	59	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADCYAP1R1	0	100	0	0	97	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	0	62	0	0	94	0	0	86	0
ADD2	0	62	0	0	67	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	42	0	0	61	0	NA	NA	NA	NA	NA	NA
ADGRB3	NA	NA	NA	NA	NA	NA	0	83	0	0	86	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGRF3	NA	NA	NA	NA	NA	NA	0	46	0	0	51	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGRG5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	51	0	0	46	0	NA	NA	NA	NA	NA	NA
ADGRG6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	0	53	0	NA	NA	NA	NA	NA	NA
ADHFE1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	65	0	0	70	0
ADIPOR2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	49	0	0	47	0
ADNP	0	70	0	0	81	0	0	74	0	0	78	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADO	NA	NA	NA	NA	NA	NA	0	81	0	0	77	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADORA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	57	0	0	57	0
ADPRH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	45	0	0	43	0	NA	NA	NA	NA	NA	NA
ADRA1D	NA	NA	NA	NA	NA	NA	0	36	0	0	37	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADRA2A	0	40	0	0	42	0	0	34	0	0	36	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADRB1	NA	NA	NA	NA	NA	NA	0	49	0	0	46	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADSL	0	66	0	0	78	0	0	77	0	0	70	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AEN	0	55	0	0	55	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	56	0	0	42	0
AFAP1	0	78	0	0	78	0	0	68	0	0	72	0	NA	NA	NA	NA	NA	NA	0	53	0	0	45	0
AFAP1L2	NA	NA	NA	NA	NA	NA	0	80	0	0	80	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
